sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
104340050,CAMARON ECU CRUDO C/ CASCARA 36/40 1 KG,PESCADOS Y MARISCOS,CAMARONES,,10915.966386554623,7590.0,,8319.327731092437,8319.327731092437,10915.966386554623,otros,central mayorista,0.0960906101571064,0.4382037399940215
104340780,CAMARON COCIDO PELADO 100/200 IQF 1 KG,PESCADOS Y MARISCOS,CAMARONES,,,5700.0,,6638.6554621848745,6638.6554621848745,6638.6554621848745,otros,otros,0.1646763968745395,0.1646763968745395
104343100,"POLLO ENTERO 1,8 ARGENTINA CJ 18 KG",POLLO,ENTERO,,,0.0,,,,,,,,
104351590,MINI TOP HOJALDRE CHOCOLATE BERLYS 55 g,BOLLERIA,BOLLERIA PARA HORNEAR,,,4963.636363636364,,6415.584415584416,6415.584415584416,6415.584415584416,otros,otros,0.2925170068027212,0.2925170068027212
104351690,EMPANADA QUESO RAVIOLERA 21 G,ACEITUNAS Y ENCURTIDOS,DESCONTINUADOS,,,3025.7936507936506,6986.127784447112,5476.357209550487,5476.357209550487,6986.127784447112,otros,jumbo,0.8098911695825872,1.3088579694172755
104360380,DESCONTINUADO CREMA SPRAY50%-50%VEGHOPLA,BOLLERIA,CREMAS,,,,,,,,,,,
104500500,"QUESO MOZZARELLA MOLFINO 3,5 kg",LACTEOS,QUESOS,,,6590.0,,5441.776710684274,5441.776710684274,5441.776710684274,otros,otros,-0.17423722144396447,-0.17423722144396447
104500540,FILETE CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,42000.0,,,,,,,,
104500560,LOMO LISO CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,31000.0,,,,,,,,
104500730,LOMO VETADO CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,35500.0,31084.03361344538,,31084.03361344538,31084.03361344538,jumbo,jumbo,-0.12439341933956682,-0.12439341933956682
104500740,LOMO VETADO C/H CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,31000.0,31084.03361344538,,31084.03361344538,31084.03361344538,jumbo,jumbo,0.002710761724044497,0.002710761724044497
104500760,ENTRAÃ‘A CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,26900.0,,,,,,,,
104500810,"SUCRALOSA MINI ICB 0,5 G",OTROS ABARROTES,MINI PORCIONES,,24898.848428260193,18900.0,,,24898.848428260193,24898.848428260193,central mayorista,central mayorista,0.3173993877386345,0.3173993877386345
104500860,ACEITE VEGETAL 5 l,ACEITES Y VINAGRES,ACEITES VEGETALES,,15462.18487394958,2200.0,,1510.9243697478992,1510.9243697478992,15462.18487394958,otros,central mayorista,-0.3132161955691367,6.028265851795264
104501110,HUEVO GRANDE BLANCO,OTROS ABARROTES,HUEVOS,,,3816.425120772947,,,,,,,,
104501170,AZUCAR MINI LAVAZZA 5 g,OTROS ABARROTES,MINI PORCIONES,,,3375.0,,4178.571428571428,4178.571428571428,4178.571428571428,otros,otros,0.23809523809523814,0.23809523809523814
104501190,"SUCRALOSA MINI LAVAZZA 0,5 G",OTROS ABARROTES,MINI PORCIONES,,,18990.0,,37932.7731092437,37932.7731092437,37932.7731092437,otros,otros,0.9975130652576989,0.9975130652576989
